variable,lambda,kappa
model,0.8654802154429712,0.3574913912274202
model,0.6866196143086418,0.26585592225717886
model,0.443826399612912,0.24504597745283446
model,0.6591847354184046,0.3492405686162919
model,0.6331675966461563,0.25282309125500435
model,0.48578025222736027,0.2445103237924884
model,0.7578854968579299,0.36751005840328965
model,0.5515468390440934,0.2599079381456157
model,0.8417009584109278,0.4266100432868757
model,0.7806302897004685,0.29052523096247057
model,0.7116297251008163,0.3558715725499242
model,0.8984741585714388,0.4080488554088637
model,0.8892408273022009,0.38211467534454985
model,0.45922798330351844,0.20670159157929893
model,0.5865897503875946,0.28365860947622873
model,0.91657431802245,0.44506138277152496
model,0.72987263144289,0.32812955089514567
model,0.5249874582126282,0.22843650352121464
model,0.8561582331829619,0.31190892810619136
model,0.6915689541135706,0.31777267182225793
model,0.8729190607279039,0.32003506609554294
model,0.7018165581147474,0.27347614258010317
model,0.8407612640470841,0.32171449369207045
model,0.7015494013925603,0.218731739780328
model,0.5114222672008788,0.23400989452546056
model,0.790173540451721,0.25968653654577006
model,0.5504515677533778,0.30291540966472297
model,0.8028380469884049,0.2975150401863417
model,0.780346581604415,0.3222193024060019
model,0.8543054207882969,0.4267345504892083
model,0.9017773240935254,0.4100289054065089
model,0.7186156912285776,0.29420787447801244
model,0.41757504289715663,0.20553773683284685
model,0.8185635231580334,0.3687709803023985
model,0.9340638651383952,0.4894381712399613
model,0.7129114756013784,0.34373150419495785
model,0.7572297502093608,0.39433097430010816
model,0.4745203162129621,0.23798062809768403
model,0.5389253709559572,0.2955948972337757
model,0.6701610170248862,0.39868680482177166
model,0.40529618025855846,0.19709097833716818
model,0.7781934994718903,0.3535933889230791
model,0.34609137016456315,0.16724657019648936
model,0.6346275508350622,0.2828525144705445
model,0.7973169450165466,0.39570445721105174
model,0.9299822804190634,0.5708875478872245
model,0.8232133013834576,0.34727387351193056
model,0.6683762916999869,0.29759042657425006
model,0.6217202435626116,0.2185337810638939
model,0.7645882197647056,0.4292281841914498
model,0.6629865127578268,0.2539881825187803
model,0.7531411450323436,0.34545248612265217
model,0.6110640690971793,0.23488744306040485
model,0.9323472267429108,0.5018964267002085
model,0.8631728914296972,0.38823404174706305
model,0.7259704260987914,0.30468680049888247
model,0.6548195240960843,0.25599891969020694
